FEATUREID,STRATNO,MAPSYMBOL,PLOTSYMBOL,NAME,DESCR,REPAGE_URI,YNGAGE_URI,LITHOLOGY,REPLITH_UR
GA_GUP2.5M_0000001,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000002,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000003,76533,CPg,CPg,Carboniferous to Permian granites,Mainly felsic intrusive rocks,Carboniferous,Cisuralian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000004,76533,CPg,CPg,Carboniferous to Permian granites,Mainly felsic intrusive rocks,Carboniferous,Cisuralian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000005,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000006,76526,Cg,Cg,Carboniferous granites,Mainly felsic intrusive rocks,Carboniferous,Gzhelian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000007,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000008,76526,Cg,Cg,Carboniferous granites,Mainly felsic intrusive rocks,Carboniferous,Gzhelian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000009,76537,Cv,Cv,Carboniferous felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Pennsylvanian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000010,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000011,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000012,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000013,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000014,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000015,76533,CPg,CPg,Carboniferous to Permian granites,Mainly felsic intrusive rocks,Carboniferous,Cisuralian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000016,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000017,76533,CPg,CPg,Carboniferous to Permian granites,Mainly felsic intrusive rocks,Carboniferous,Cisuralian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000018,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000019,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000020,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000021,76533,CPg,CPg,Carboniferous to Permian granites,Mainly felsic intrusive rocks,Carboniferous,Cisuralian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000022,76537,Cv,Cv,Carboniferous felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Pennsylvanian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000023,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000024,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000025,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000026,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000027,76560,JKl,JKs,Jurassic to Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Jurassic,LowerCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000028,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000029,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000030,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000031,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000032,76560,JKl,JKs,Jurassic to Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Jurassic,LowerCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000033,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000034,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000035,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000036,76560,JKl,JKs,Jurassic to Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Jurassic,LowerCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000037,76560,JKl,JKs,Jurassic to Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Jurassic,LowerCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000038,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000039,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000040,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000041,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000042,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000043,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000044,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000045,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000046,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000047,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000048,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000049,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000050,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000051,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000052,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000053,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000054,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000055,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000056,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000057,76565,Ku,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000058,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000059,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000060,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
